State,Literacyrate
JAMMU & KASHMIR,23.71
HIMACHAL PRADESH,12.81
PUNJAB,13.73
CHANDIGARH,17.1
UTTARAKHAND,19.17
HARYANA,19.9
DELHI,20.96
RAJASTHAN,21.44
UTTAR PRADESH,20.09
BIHAR,25.07
SIKKIM,12.36
ARUNACHAL PRADESH,25.92
NAGALAND,0.47
MANIPUR,18.65
MIZORAM,22.78
TRIPURA,14.75
MEGHALAYA,27.82
ASSAM,16.93
WEST BENGAL,13.93
JHARKHAND,22.34
ODISHA,13.97
CHHATTISGARH,22.59
MADHYA PRADESH,20.3
GUJARAT,19.17
DAMAN & DIU,53.54
DADRA & NAGAR HAVELI,55.5
MAHARASHTRA,15.99
ANDHRA PRADESH,11.1
KARNATAKA,15.67
GOA,8.17
LAKSHADWEEP,6.23
KERALA,44.86
TAMIL NADU,15.6
PUDUCHERRY,27.72
A & N ISLANDS,6.68
TELANGANA,13.58
